latitude,longitude,temperature_max,temperature_min,humidity_max,humidity_min,precipitation_sum,windspeed_max,wind_direction,day,month,dayofweek,brightness,bright_t31,frp,fire_prob
29.8,78.99999999999986,22.1,17.6,95,86,8.2,8.0,203,5,9,4,0,0,0,0.07959079
29.82,78.3,31.8,25.4,98,75,10.8,6.3,63,5,9,4,0,0,0,0.052979145
29.82,78.32,31.8,25.4,98,75,10.8,6.3,63,5,9,4,0,0,0,0.052979145
29.82,78.33999999999999,31.0,24.6,98,75,7.2,6.1,48,5,9,4,0,0,0,0.14859582
29.82,78.35999999999999,30.6,24.2,98,75,7.2,6.1,48,5,9,4,0,0,0,0.14826803
29.82,78.37999999999998,30.4,23.9,98,74,6.9,6.3,43,5,9,4,0,0,0,0.16857426
29.82,78.39999999999998,30.1,23.7,98,74,6.9,6.3,43,5,9,4,0,0,0,0.16804244
29.82,78.41999999999997,29.8,23.4,98,74,6.9,6.3,43,5,9,4,0,0,0,0.16777062
29.82,78.43999999999997,27.6,23.2,95,79,10.4,7.7,83,5,9,4,0,0,0,0.05499049
29.82,78.45999999999997,30.1,24.8,95,76,9.2,6.5,75,5,9,4,0,0,0,0.08496874
29.82,78.47999999999996,29.2,23.9,95,76,9.2,6.5,75,5,9,4,0,0,0,0.08451618
29.82,78.49999999999996,26.4,21.0,96,81,8.5,7.6,39,5,9,4,0,0,0,0.08835843
29.82,78.51999999999995,26.6,21.2,96,81,8.5,7.6,39,5,9,4,0,0,0,0.08846311
29.82,78.53999999999995,26.2,20.9,96,81,8.5,7.6,39,5,9,4,0,0,0,0.08810505
29.82,78.55999999999995,25.2,19.8,96,81,8.5,7.6,39,5,9,4,0,0,0,0.08773407
29.82,78.57999999999994,25.8,19.3,99,77,5.9,6.3,41,5,9,4,0,0,0,0.17216031
29.82,78.59999999999994,30.0,24.6,95,76,9.2,6.5,75,5,9,4,0,0,0,0.085062675
29.82,78.61999999999993,29.9,24.5,95,76,9.2,6.5,75,5,9,4,0,0,0,0.08501216
29.82,78.63999999999993,27.9,23.5,95,79,10.4,7.7,83,5,9,4,0,0,0,0.055090476
29.82,78.65999999999993,27.6,23.2,95,79,10.4,7.7,83,5,9,4,0,0,0,0.054990377
29.82,78.67999999999992,27.0,22.6,95,79,10.4,7.7,83,5,9,4,0,0,0,0.054790877
29.82,78.69999999999992,26.1,21.0,97,82,8.0,7.4,107,5,9,4,0,0,0,0.0949713
29.82,78.71999999999991,26.4,21.3,97,82,8.0,7.4,107,5,9,4,0,0,0,0.09513839
29.82,78.73999999999991,26.4,21.0,96,81,8.5,7.6,39,5,9,4,0,0,0,0.08835843
29.82,78.7599999999999,25.7,19.2,96,75,6.1,7.6,288,5,9,4,0,0,0,0.19793837
29.82,78.7799999999999,23.1,16.6,96,75,6.1,7.6,288,5,9,4,0,0,0,0.19258524
29.82,78.7999999999999,25.6,19.1,96,75,6.1,7.6,288,5,9,4,0,0,0,0.19768591
29.82,78.8199999999999,24.0,19.5,95,86,8.2,8.0,203,5,9,4,0,0,0,0.080309786
29.82,78.83999999999989,26.9,20.3,99,77,5.9,6.3,41,5,9,4,0,0,0,0.17466933
29.82,78.85999999999989,27.9,23.1,94,79,13.7,7.3,90,5,9,4,0,0,0,0.02137426
29.82,78.87999999999988,24.3,19.9,95,86,8.2,8.0,203,5,9,4,0,0,0,0.08031609
29.82,78.89999999999988,28.3,23.5,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021540081
29.82,78.91999999999987,26.2,21.1,97,82,8.0,7.4,107,5,9,4,0,0,0,0.09502694
29.82,78.93999999999987,26.1,22.3,96,84,12.7,7.7,149,5,9,4,0,0,0,0.021440437
29.82,78.95999999999987,27.3,23.5,96,84,12.7,7.7,149,5,9,4,0,0,0,0.021576455
29.82,78.97999999999986,23.7,19.3,95,86,8.2,8.0,203,5,9,4,0,0,0,0.080029495
29.82,78.99999999999986,25.9,22.2,96,84,12.7,7.7,149,5,9,4,0,0,0,0.02137562
29.84,78.3,31.7,25.3,98,75,10.8,6.3,63,5,9,4,0,0,0,0.052947056
29.84,78.32,31.1,24.7,98,75,7.2,6.1,48,5,9,4,0,0,0,0.148678
